winStart(sec): 1090, winEnd(sec): 1155, packCount: 313 , mostActC: 75, S-SA: 82, avSize: 103.335463, avTimeMostAct: 0.803547, F-S: -79 , susComb: 0 
winStart(sec): 1100, winEnd(sec): 1165, packCount: 304 , mostActC: 72, S-SA: 77, avSize: 103.993421, avTimeMostAct: 0.859680, F-S: -74 , susComb: 0 
winStart(sec): 1110, winEnd(sec): 1175, packCount: 298 , mostActC: 64, S-SA: 66, avSize: 106.993289, avTimeMostAct: 0.966506, F-S: -63 , susComb: 0 
winStart(sec): 1120, winEnd(sec): 1185, packCount: 274 , mostActC: 50, S-SA: 51, avSize: 111.857664, avTimeMostAct: 1.238310, F-S: -47 , susComb: 0 
winStart(sec): 1130, winEnd(sec): 1195, packCount: 242 , mostActC: 41, S-SA: 36, avSize: 114.909091, avTimeMostAct: 1.288110, F-S: -32 , susComb: 0 
winStart(sec): 1140, winEnd(sec): 1205, packCount: 217 , mostActC: 44, S-SA: 30, avSize: 118.082949, avTimeMostAct: 1.376489, F-S: -27 , susComb: 0 
winStart(sec): 1150, winEnd(sec): 1215, packCount: 165 , mostActC: 28, S-SA: 23, avSize: 117.709091, avTimeMostAct: 1.338960, F-S: -21 , susComb: 0 
winStart(sec): 1160, winEnd(sec): 1225, packCount: 165 , mostActC: 32, S-SA: 15, avSize: 123.006061, avTimeMostAct: 1.930618, F-S: -12 , susComb: 0 
winStart(sec): 1170, winEnd(sec): 1235, packCount: 175 , mostActC: 37, S-SA: 9, avSize: 130.091429, avTimeMostAct: 1.567055, F-S: -6 , susComb: 0 
winStart(sec): 1180, winEnd(sec): 1245, packCount: 169 , mostActC: 40, S-SA: 6, avSize: 134.940828, avTimeMostAct: 1.607239, F-S: -3 , susComb: 0 
winStart(sec): 1190, winEnd(sec): 1255, packCount: 133 , mostActC: 32, S-SA: 6, avSize: 135.766917, avTimeMostAct: 1.902380, F-S: -5 , susComb: 0 
winStart(sec): 1200, winEnd(sec): 1265, packCount: 138 , mostActC: 28, S-SA: 9, avSize: 139.275362, avTimeMostAct: 2.002469, F-S: -8 , susComb: 0 
