 sAddr: 212.193.209.129 , sec: 29, usec: 476511, size: 699, flag: 0 
 sAddr: 81.222.128.11 , sec: 29, usec: 495009, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 500221, size: 86, flag: 0 
 sAddr: 213.180.204.11 , sec: 29, usec: 504477, size: 254, flag: 0 
 sAddr: 213.180.204.11 , sec: 29, usec: 504487, size: 60, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 504533, size: 54, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 504813, size: 54, flag: 7 
 sAddr: 213.248.62.170 , sec: 29, usec: 505882, size: 66, flag: 0 
 sAddr: 213.169.64.189 , sec: 29, usec: 512363, size: 66, flag: 0 
 sAddr: 89.108.65.158 , sec: 29, usec: 518980, size: 66, flag: 0 
 sAddr: 217.16.31.122 , sec: 29, usec: 529723, size: 66, flag: 0 
 sAddr: 217.20.163.72 , sec: 29, usec: 546709, size: 78, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 546749, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 546933, size: 705, flag: 0 
 sAddr: 217.16.31.122 , sec: 29, usec: 554243, size: 579, flag: 0 
 sAddr: 213.180.204.11 , sec: 29, usec: 558916, size: 60, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 587150, size: 716, flag: 0 
 sAddr: 195.208.252.1 , sec: 29, usec: 647969, size: 227, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 648262, size: 78, flag: 1 
 sAddr: 217.16.31.122 , sec: 29, usec: 652411, size: 1456, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 652648, size: 66, flag: 7 
 sAddr: 217.20.163.72 , sec: 29, usec: 687087, size: 66, flag: 0 
 sAddr: 217.20.163.72 , sec: 29, usec: 690294, size: 296, flag: 0 
 sAddr: 217.20.163.72 , sec: 29, usec: 690474, size: 599, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 690512, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 690663, size: 66, flag: 7 
 sAddr: 217.16.27.128 , sec: 29, usec: 693325, size: 74, flag: 2 
 sAddr: 212.193.209.129 , sec: 29, usec: 693371, size: 66, flag: 0 
 sAddr: 212.193.209.129 , sec: 29, usec: 693557, size: 690, flag: 0 
 sAddr: 217.16.31.122 , sec: 29, usec: 714462, size: 66, flag: 7 
 sAddr: 212.193.209.129 , sec: 29, usec: 714513, size: 66, flag: 0 
